#Experiment	Perturbations	PerturbationLevels	Treatment	DeletedGenes	OverexpressedGenes	Time	Repeat
1	NA	NA	NA	NA	NA	NA	1
1	NA	NA	NA	NA	NA	NA	2
2	NA	NA	NA	NA	NA	NA	1
2	NA	NA	NA	NA	NA	NA	2
2	NA	NA	NA	NA	NA	NA	3
3	NA	NA	NA	NA	NA	NA	1
3	NA	NA	NA	NA	NA	NA	2
4	NA	NA	NA	NA	NA	NA	1
4	NA	NA	NA	NA	NA	NA	2
5	NA	NA	NA	NA	NA	NA	1
5	NA	NA	NA	NA	NA	NA	2
6	NA	NA	NA	NA	NA	NA	1
7	NA	NA	NA	NA	NA	NA	1
7	NA	NA	NA	NA	NA	NA	2
7	NA	NA	NA	NA	NA	NA	3
8	NA	NA	NA	NA	NA	NA	1
8	NA	NA	NA	NA	NA	NA	2
9	NA	NA	NA	NA	NA	NA	1
9	NA	NA	NA	NA	NA	NA	2
9	NA	NA	NA	NA	NA	NA	3
10	NA	NA	NA	NA	NA	NA	1
10	NA	NA	NA	NA	NA	NA	2
11	NA	NA	NA	NA	NA	NA	1
11	NA	NA	NA	NA	NA	NA	2
12	NA	NA	NA	NA	NA	NA	1
13	NA	NA	NA	NA	NA	NA	1
13	NA	NA	NA	NA	NA	NA	2
14	NA	NA	NA	NA	NA	NA	1
15	NA	NA	NA	NA	NA	NA	1
16	NA	NA	NA	NA	NA	NA	1
16	NA	NA	NA	NA	NA	NA	2
17	NA	NA	NA	NA	NA	NA	1
17	NA	NA	NA	NA	NA	NA	2
17	NA	NA	NA	NA	NA	NA	3
18	NA	NA	NA	NA	NA	NA	1
18	NA	NA	NA	NA	NA	NA	2
19	NA	NA	NA	NA	NA	NA	1
20	NA	NA	NA	NA	NA	NA	1
20	NA	NA	NA	NA	NA	NA	2
21	NA	NA	NA	NA	NA	NA	1
21	NA	NA	NA	NA	NA	NA	2
22	NA	NA	NA	NA	NA	NA	1
22	NA	NA	NA	NA	NA	NA	2
22	NA	NA	NA	NA	NA	NA	3
23	NA	NA	NA	NA	NA	NA	1
23	NA	NA	NA	NA	NA	NA	2
24	NA	NA	NA	NA	NA	0.00	1
24	NA	NA	NA	NA	NA	1.33	1
25	NA	NA	NA	NA	NA	5.00	1
25	NA	NA	NA	NA	NA	5.00	2
25	NA	NA	NA	NA	NA	10.00	1
25	NA	NA	NA	NA	NA	10.00	2
25	NA	NA	NA	NA	NA	16.00	1
25	NA	NA	NA	NA	NA	16.00	2
25	NA	NA	NA	NA	NA	24.00	1
25	NA	NA	NA	NA	NA	24.00	2
25	NA	NA	NA	NA	NA	36.00	1
25	NA	NA	NA	NA	NA	36.00	2
25	NA	NA	NA	NA	NA	52.00	1
25	NA	NA	NA	NA	NA	52.00	2
26	NA	NA	NA	NA	NA	5.00	1
26	NA	NA	NA	NA	NA	5.00	2
26	NA	NA	NA	NA	NA	6.00	1
26	NA	NA	NA	NA	NA	6.00	2
26	NA	NA	NA	NA	NA	7.50	1
26	NA	NA	NA	NA	NA	7.50	2
26	NA	NA	NA	NA	NA	12.33	1
26	NA	NA	NA	NA	NA	12.33	2
26	NA	NA	NA	NA	NA	13.50	1
26	NA	NA	NA	NA	NA	13.50	2
27	NA	NA	NA	NA	NA	8.00	1
27	NA	NA	NA	NA	NA	14.00	1
27	NA	NA	NA	NA	NA	30.00	1
27	NA	NA	NA	NA	NA	48.00	1
28	NA	NA	NA	NA	NA	0.00	1
28	NA	NA	NA	NA	NA	1.33	1
29	NA	NA	NA	NA	NA	0.00	1
29	NA	NA	NA	NA	NA	1.33	1
30	NA	NA	NA	NA	NA	8.00	1
30	NA	NA	NA	NA	NA	14.00	1
30	NA	NA	NA	NA	NA	30.00	1
30	NA	NA	NA	NA	NA	48.00	1
31	NA	NA	NA	NA	NA	NA	1
31	P1	NA	NA	NA	NA	NA	1
32	NA	NA	NA	NA	NA	NA	1
32	P2	1.00	NA	NA	NA	NA	1
33	P3	NA	NA	NA	NA	NA	1
33	P3	NA	NA	NA	NA	NA	2
34	P4	0.80	NA	NA	NA	NA	1
34	P4	0.80	NA	NA	NA	NA	2
35	NA	NA	NA	NA	NA	NA	1
35	NA	NA	NA	NA	NA	NA	2
35	NA	NA	NA	NA	NA	NA	3
35	P5	NA	NA	NA	NA	NA	1
35	P5	NA	NA	NA	NA	NA	2
35	P5	NA	NA	NA	NA	NA	3
36	P3	NA	NA	NA	NA	NA	1
36	P3	NA	NA	NA	NA	NA	2
36	P3	NA	NA	NA	NA	NA	3
36	P3	NA	NA	NA	NA	NA	4
36	P3	NA	NA	NA	NA	NA	5
36	NA	NA	NA	NA	NA	NA	1
36	NA	NA	NA	NA	NA	NA	2
36	NA	NA	NA	NA	NA	NA	3
36	NA	NA	NA	NA	NA	NA	4
36	NA	NA	NA	NA	NA	NA	5
36	P6	NA	NA	NA	NA	NA	1
36	P6	NA	NA	NA	NA	NA	2
36	P6	NA	NA	NA	NA	NA	3
36	P6	NA	NA	NA	NA	NA	4
36	P6	NA	NA	NA	NA	NA	5
37	NA	NA	NA	NA	NA	NA	1
37	P2	1.00	NA	NA	NA	NA	1
38	P3	NA	NA	NA	NA	NA	1
38	P3	NA	NA	NA	NA	NA	2
38	P3	NA	NA	NA	NA	NA	3
38	P3	NA	NA	NA	NA	NA	4
38	P3	NA	NA	NA	NA	NA	5
38	NA	NA	NA	NA	NA	NA	1
38	NA	NA	NA	NA	NA	NA	2
38	NA	NA	NA	NA	NA	NA	3
38	NA	NA	NA	NA	NA	NA	4
38	NA	NA	NA	NA	NA	NA	5
38	P6	NA	NA	NA	NA	NA	1
38	P6	NA	NA	NA	NA	NA	2
38	P6	NA	NA	NA	NA	NA	3
38	P6	NA	NA	NA	NA	NA	4
38	P6	NA	NA	NA	NA	NA	5
39	NA	NA	NA	NA	NA	NA	1
39	NA	NA	NA	NA	NA	NA	2
39	P7	NA	NA	NA	NA	NA	1
39	P7	NA	NA	NA	NA	NA	2
40	NA	NA	NA	NA	NA	NA	1
40	P2	1.00	NA	NA	NA	NA	1
41	NA	NA	NA	NA	NA	NA	1
41	P1	NA	NA	NA	NA	NA	1
42	NA	NA	NA	NA	NA	NA	1
42	P2	1.00	NA	NA	NA	NA	1
43	NA	NA	NA	NA	NA	0.00	1
43	NA	NA	NA	NA	NA	1.00	1
43	NA	NA	NA	NA	NA	2.00	1
43	NA	NA	NA	NA	NA	4.00	1
43	P8	1.00	NA	NA	NA	0.00	1
43	P8	1.00	NA	NA	NA	1.00	1
43	P8	1.00	NA	NA	NA	2.00	1
43	P8	1.00	NA	NA	NA	4.00	1
43	P8	1.00	1	NA	NA	0.00	1
43	P8	1.00	1	NA	NA	1.00	1
43	P8	1.00	1	NA	NA	2.00	1
43	P8	1.00	1	NA	NA	4.00	1
43	P9	NA	NA	NA	NA	0.00	1
43	P9	NA	NA	NA	NA	1.00	1
43	P9	NA	NA	NA	NA	2.00	1
43	P9	NA	NA	NA	NA	4.00	1
44	NA	NA	NA	NA	NA	0.00	1
44	NA	NA	NA	NA	NA	1.00	1
44	NA	NA	NA	NA	NA	2.00	1
44	NA	NA	NA	NA	NA	4.00	1
44	P10	1.00	NA	NA	NA	1.00	1
44	P10	1.00	NA	NA	NA	2.00	1
44	P10	1.00	NA	NA	NA	4.00	1
44	P11	0.01	NA	NA	NA	1.00	1
44	P11	0.01	NA	NA	NA	2.00	1
44	P11	0.01	NA	NA	NA	4.00	1
45	NA	NA	NA	NA	NA	0.00	1
45	P12	0.20	NA	NA	NA	1.00	1
45	P12	0.20	NA	NA	NA	2.00	1
45	P12	0.20	NA	NA	NA	4.00	1
45	P12	0.50	NA	NA	NA	1.00	1
45	P12	0.50	NA	NA	NA	2.00	1
45	P12	0.50	NA	NA	NA	4.00	1
46	P3	NA	NA	NA	NA	0.00	1
46	P3	NA	NA	NA	NA	0.00	2
46	P3	NA	NA	NA	NA	0.00	3
46	P3	NA	NA	NA	NA	0.00	4
46	P3	NA	NA	NA	NA	0.00	5
46	P3	NA	NA	NA	NA	0.03	1
46	P3	NA	NA	NA	NA	0.03	2
46	P3	NA	NA	NA	NA	0.03	3
46	P3	NA	NA	NA	NA	0.03	4
